2023-05-02 12:54:25,135 INFO    StreamThr :20056 [internal.py:wandb_internal():87] W&B internal server running at pid: 20056, started at: 2023-05-02 12:54:25.135040
2023-05-02 12:54:25,137 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: status
2023-05-02 12:54:25,138 INFO    WriterThread:20056 [datastore.py:open_for_write():85] open: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/run-sefg7esx.wandb
2023-05-02 12:54:25,139 DEBUG   SenderThread:20056 [sender.py:send():336] send: header
2023-05-02 12:54:25,139 DEBUG   SenderThread:20056 [sender.py:send():336] send: run
2023-05-02 12:54:25,652 INFO    SenderThread:20056 [dir_watcher.py:__init__():219] watching files in: /home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/wandb/run-20230502_125425-sefg7esx/files
2023-05-02 12:54:25,652 INFO    SenderThread:20056 [sender.py:_start_run_threads():1078] run started: sefg7esx with start time 1683024865.134555
2023-05-02 12:54:25,652 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: summary_record
2023-05-02 12:54:25,652 INFO    SenderThread:20056 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-05-02 12:54:25,653 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: check_version
2023-05-02 12:54:25,653 DEBUG   SenderThread:20056 [sender.py:send_request():363] send_request: check_version
2023-05-02 12:54:25,717 DEBUG   HandlerThread:20056 [handler.py:handle_request():144] handle_request: run_start
2023-05-02 12:54:25,721 DEBUG   HandlerThread:20056 [system_info.py:__init__():31] System info init
2023-05-02 12:54:25,721 DEBUG   HandlerThread:20056 [system_info.py:__init__():46] System info init done
2023-05-02 12:54:25,721 INFO    HandlerThread:20056 [system_monitor.py:start():183] Starting system monitor
2023-05-02 12:54:25,721 INFO    SystemMonitor:20056 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-05-02 12:54:25,721 INFO    HandlerThread:20056 [system_monitor.py:probe():204] Collecting system info
2023-05-02 12:54:25,722 INFO    SystemMonitor:20056 [interfaces.py:start():187] Started cpu monitoring
2023-05-02 12:54:25,722 INFO    SystemMonitor:20056 [interfaces.py:start():187] Started disk monitoring
2023-05-02 12:54:25,722 INFO    SystemMonitor:20056 [interfaces.py:start():187] Started gpu monitoring
2023-05-02 12:54:25,723 INFO    SystemMonitor:20056 [interfaces.py:start():187] Started memory monitoring
2023-05-02 12:54:25,723 INFO    SystemMonitor:20056 [interfaces.py:start():187] Started network monitoring
2023-05-02 12:54:25,732 DEBUG   HandlerThread:20056 [system_info.py:probe():195] Probing system
2023-05-02 12:54:25,736 DEBUG   HandlerThread:20056 [git.py:repo():40] git repository is invalid
2023-05-02 12:54:25,736 DEBUG   HandlerThread:20056 [system_info.py:probe():240] Probing system done
2023-05-02 12:54:25,736 DEBUG   HandlerThread:20056 [system_monitor.py:probe():213] {'os': 'Linux-6.1.25-1-MANJARO-x86_64-with-glibc2.37', 'python': '3.9.0', 'heartbeatAt': '2023-05-02T10:54:25.733046', 'startedAt': '2023-05-02T10:54:25.127530', 'docker': None, 'cuda': None, 'args': ('../Configs/pgd.json',), 'state': 'running', 'program': '/home/developer/Desktop/CIFAR-10-Paralel/Training/scripts/train.py', 'codePath': 'train.py', 'host': 'developer-systemproductname', 'username': 'developer', 'executable': '/home/developer/anaconda3/envs/pytorch/bin/python', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 4472.9828125, 'min': 1400.0, 'max': 3800.0}, 'cpu_freq_per_core': [{'current': 4470.01, 'min': 1400.0, 'max': 3800.0}, {'current': 4474.851, 'min': 1400.0, 'max': 3800.0}, {'current': 4475.196, 'min': 1400.0, 'max': 3800.0}, {'current': 4473.879, 'min': 1400.0, 'max': 3800.0}, {'current': 4475.236, 'min': 1400.0, 'max': 3800.0}, {'current': 4475.247, 'min': 1400.0, 'max': 3800.0}, {'current': 4475.04, 'min': 1400.0, 'max': 3800.0}, {'current': 4475.266, 'min': 1400.0, 'max': 3800.0}, {'current': 4475.241, 'min': 1400.0, 'max': 3800.0}, {'current': 4474.58, 'min': 1400.0, 'max': 3800.0}, {'current': 4474.338, 'min': 1400.0, 'max': 3800.0}, {'current': 4474.923, 'min': 1400.0, 'max': 3800.0}, {'current': 4470.289, 'min': 1400.0, 'max': 3800.0}, {'current': 4474.655, 'min': 1400.0, 'max': 3800.0}, {'current': 4474.16, 'min': 1400.0, 'max': 3800.0}, {'current': 4454.814, 'min': 1400.0, 'max': 3800.0}], 'disk': {'total': 233.37541961669922, 'used': 83.39892578125}, 'gpu': 'NVIDIA GeForce RTX 3070', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3070', 'memory_total': 8589934592}], 'memory': {'total': 15.417495727539062}}
2023-05-02 12:54:25,736 INFO    HandlerThread:20056 [system_monitor.py:probe():214] Finished collecting system info
2023-05-02 12:54:25,736 INFO    HandlerThread:20056 [system_monitor.py:probe():217] Publishing system info
2023-05-02 12:54:25,736 DEBUG   HandlerThread:20056 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-05-02 12:54:25,736 DEBUG   HandlerThread:20056 [system_info.py:_save_pip():67] Saving pip packages done
